DN,nonlinear_correction
88.2,0.989210723063
92.2,0.989242126924
96.2,0.989273711624
100.2,0.989305481812
104.2,0.989337442131
108.2,0.989369597211
112.2,0.989401951661
116.2,0.989434510063
120.2,0.989467276961
124.2,0.989500256855
128.2,0.98953345419
132.2,0.989566873347
136.2,0.989600518637
140.2,0.989634394285
144.2,0.989668504426
148.2,0.989702853091
152.2,0.9897374442
156.2,0.989772281546
160.2,0.989807368791
164.2,0.989842709447
168.2,0.989878306873
172.2,0.989914164259
176.2,0.989950284613
180.2,0.989986670753
184.2,0.990023325296
188.2,0.99006025064
192.2,0.990097448961
196.2,0.990134922194
200.2,0.990172672025
204.2,0.990210699878
208.2,0.990249006904
212.2,0.990287593969
216.2,0.990326461645
220.2,0.990365610193
224.2,0.99040503956
228.2,0.990444749361
232.2,0.990484738875
236.2,0.990525007029
240.2,0.990565552392
244.2,0.990606373164
248.2,0.990647467169
252.2,0.990688831843
256.2,0.99073046423
260.2,0.990772360968
264.2,0.990814518292
268.2,0.990856932016
272.2,0.990899597535
276.2,0.990942509818
280.2,0.990985663401
284.2,0.991029052384
288.2,0.991072670429
292.2,0.991116510756
296.2,0.99116056614
300.2,0.991204828913
304.2,0.99124929096
308.2,0.991293943721
312.2,0.991338778191
316.2,0.991383784925
320.2,0.991428954037
324.2,0.991474275203
328.2,0.991519737669
332.2,0.991565330253
336.2,0.991611041353
340.2,0.991656858952
344.2,0.991702770624
348.2,0.991748763548
352.2,0.991794824512
356.2,0.991840939922
360.2,0.991887095817
364.2,0.99193327788
368.2,0.991979471444
372.2,0.992025661513
376.2,0.992071832769
380.2,0.992117969592
384.2,0.992164056069
388.2,0.992210076014
392.2,0.992256012981
396.2,0.992301850285
400.2,0.992347571013
404.2,0.992393158048
408.2,0.992438594082
412.2,0.992483861639
416.2,0.992528943092
420.2,0.992573820682
424.2,0.992618476539
428.2,0.992662892702
432.2,0.992707051141
436.2,0.992750933773
440.2,0.992794522489
444.2,0.992837799171
448.2,0.992880745715
452.2,0.992923344053
456.2,0.99296557617
460.2,0.993007424135
464.2,0.99304887011
468.2,0.993089896384
472.2,0.993130485383
476.2,0.993170619702
480.2,0.993210282116
484.2,0.993249455609
488.2,0.993288123391
492.2,0.993326268918
496.2,0.993363875914
500.2,0.99340092839
504.2,0.993437410663
508.2,0.993473307378
512.2,0.993508603521
516.2,0.993543284445
520.2,0.99357733588
524.2,0.993610743955
528.2,0.993643495215
532.2,0.993675576635
536.2,0.993706975636
540.2,0.993737680101
544.2,0.99376767839
548.2,0.993796959352
552.2,0.993825512337
556.2,0.993853327213
560.2,0.993880394373
564.2,0.993906704748
568.2,0.993932249816
572.2,0.993957021613
576.2,0.993981012742
580.2,0.994004216376
584.2,0.994026626271
588.2,0.994048236768
592.2,0.994069042801
596.2,0.994089039901
600.2,0.994108224196
604.2,0.99412659242
608.2,0.994144141908
612.2,0.994160870606
616.2,0.99417677706
620.2,0.994191860425
624.2,0.994206120458
628.2,0.99421955752
632.2,0.994232172568
636.2,0.994243967154
640.2,0.99425494342
644.2,0.994265104092
648.2,0.994274452473
652.2,0.994282992438
656.2,0.994290728424
660.2,0.994297665423
664.2,0.994303808969
668.2,0.994309165133
672.2,0.994313740511
676.2,0.994317542211
680.2,0.99432057784
684.2,0.994322855495
688.2,0.994324383749
692.2,0.994325171636
696.2,0.994325228635
700.2,0.994324564663
704.2,0.994323190049
708.2,0.99432111553
712.2,0.994318352225
716.2,0.994314911625
720.2,0.994310805578
724.2,0.994306046264
728.2,0.994300646186
732.2,0.994294618151
736.2,0.994287975251
740.2,0.994280730844
744.2,0.994272898543
748.2,0.99426449219
752.2,0.994255525846
756.2,0.994246013767
760.2,0.994235970391
764.2,0.994225410318
768.2,0.994214348293
772.2,0.994202799189
776.2,0.994190777992
780.2,0.994178299778
784.2,0.994165379702
788.2,0.994152032982
792.2,0.994138274876
796.2,0.994124120675
800.2,0.994109585679
804.2,0.994094685189
808.2,0.994079434486
812.2,0.994063848822
816.2,0.994047943402
820.2,0.994031733372
824.2,0.994015233803
828.2,0.993998459683
832.2,0.993981425902
836.2,0.993964147239
840.2,0.993946638352
844.2,0.993928913766
848.2,0.993910987866
852.2,0.993892874882
856.2,0.993874588881
860.2,0.993856143761
864.2,0.993837553239
868.2,0.993818830846
872.2,0.993799989915
876.2,0.99378104358
880.2,0.993762004765
884.2,0.993742886178
888.2,0.993723700308
