Wavelength,ScaleFactor,Intensity,HalogenIntensity
350.08,3.22512111183,1.76587765338,0.5475384
350.62,3.24977485655,1.8065420433,0.5558976
351.15,3.35995618215,1.89535800226,0.564102
351.69,3.30394006131,1.89137749223,0.5724612
352.23,3.45368107375,2.00596842273,0.5808204
352.76,3.41372425677,2.0107682476,0.5890248
353.3,3.43896747045,2.05438414337,0.597384
353.84,3.61288303963,2.18847933365,0.6057432
354.37,3.58475965519,2.20085458688,0.6139476
354.91,3.68769990804,2.29488072914,0.6223068
355.45,3.6452730283,2.29894975966,0.630666
355.99,3.66251284841,2.34043800546,0.6390252
356.52,3.68587716453,2.38560880285,0.6472296
357.06,3.87356348694,2.53946483813,0.6555888
357.6,3.85572853645,2.56000325032,0.663948
358.13,3.84641499096,2.58537706757,0.6721524
358.67,3.95431115308,2.69095460968,0.6805116
359.21,3.97105981566,2.73554715206,0.6888708
359.75,4.00725437895,2.79397797063,0.69723
360.28,4.03445200261,2.84865071134,0.7060812
360.82,4.06835791721,2.91167412738,0.7156878
361.36,4.15300740843,3.01215301649,0.7252944
361.9,4.12026246003,3.02798500214,0.734901
362.44,4.11420066375,3.06305366209,0.7445076
362.97,4.12089443185,3.10689190064,0.7539363
363.51,4.27250445104,3.26224043881,0.7635429
364.05,4.3295193038,3.34736568498,0.7731495
364.59,4.47088296185,3.49961091077,0.7827561
365.12,4.44945497486,3.52479059937,0.7921848
365.66,4.49425972149,3.60345879406,0.8017914
366.2,4.51472626338,3.66323986066,0.811398
366.74,4.60393865447,3.77985481344,0.8210046
367.28,4.64301367831,3.85653916296,0.8306112
367.82,4.68985326429,3.94049819205,0.8402178
368.35,4.77350342058,4.05579047404,0.8496465
368.89,4.78243056031,4.10931828448,0.8592531
369.43,4.93071017067,4.28409535967,0.8688597
369.97,4.97156794678,4.36735489941,0.8784663
370.51,5.01228728971,4.45564772475,0.888945
371.05,5.09038188073,4.57867124217,0.899475
371.59,5.04846912274,4.59413214404,0.910005
372.13,5.19344400911,4.78074698093,0.920535
372.66,5.22697974992,4.86563863981,0.93087
373.2,5.26893385746,4.96017433341,0.9414
373.74,5.34787894786,5.09080640684,0.95193
