Wavelength,ScaleFactor,Intensity,HalogenIntensity
449.65,15.7702341564,51.3082991255,3.25349
450.19,15.81746405,51.8064464981,3.2752688
450.73,15.9155299889,52.5016664952,3.2987696
451.28,15.8554302721,52.6829269556,3.3227056
451.82,15.8949908642,53.1879201576,3.3462064
452.37,15.9177995181,53.6452510707,3.3701424
452.91,15.9373819229,54.0857877886,3.3936432
453.46,15.8839977548,54.2848203395,3.4175792
454.0,16.0491811616,55.2265163114,3.44108
454.55,15.9640780886,55.3157860021,3.465016
455.09,16.0465950138,55.9788162884,3.4885168
455.64,16.0910856221,56.5191787485,3.5124528
456.18,16.0885612879,56.8884062049,3.5359536
456.73,16.0844129217,57.2587342819,3.5598896
457.27,16.1873210166,58.0054907325,3.5833904
457.82,16.2376984366,58.5746782456,3.6073264
458.36,16.1639793108,58.688615742,3.6308272
458.91,16.2474399818,59.3805457395,3.6547632
459.45,16.3062884257,59.9788336898,3.678264
460.0,16.3360407906,60.4792902149,3.7022
460.54,16.3344815329,60.8573909149,3.7257008
461.09,16.3989604721,61.490145668,3.7496368
461.63,16.4463636047,62.0543929003,3.7731376
462.18,16.4797790909,62.57493412,3.7970736
462.72,16.4705578552,62.9269916952,3.8205744
463.27,16.5287109019,63.5448009611,3.8445104
463.81,16.5962246612,64.1943828673,3.8680112
464.36,16.6336930242,64.737454991,3.8919472
464.9,16.6374982079,65.1432590831,3.915448
465.45,16.710813998,65.8303132906,3.939384
465.99,16.754963696,66.3979909555,3.9628848
466.54,16.7892047855,66.9355508543,3.9868208
467.08,16.8537953284,67.5891394474,4.0103216
467.63,16.8869108052,68.1261482566,4.0342576
468.17,16.9286141424,68.6922262366,4.0577584
468.72,16.9493658222,69.1821315602,4.0816944
469.26,16.9683560261,69.6584137104,4.1051952
469.81,17.0249585445,70.298287505,4.1291312
470.36,17.0424473675,70.7784291695,4.1530672
470.9,17.11676996,71.4893536784,4.176568
471.45,17.1401102258,71.997101564,4.200504
471.99,17.1561660692,72.4677278259,4.2240048
472.54,17.2099550168,73.1068700819,4.2479408
473.08,17.2167333818,73.5402711832,4.2714416
473.63,17.2457799024,74.0771366874,4.2953776
474.17,17.3211239001,74.807827876,4.3188784
474.72,17.3251204015,75.2397823615,4.3428144
475.26,17.3544078748,75.7926829889,4.3673448
475.81,17.3296266374,76.1370006508,4.3934588
476.35,17.4180883902,76.9722395689,4.419098
476.9,17.3852936749,77.2813160674,4.445212
477.45,17.395377125,77.780402019,4.471326
477.99,17.4134132701,78.3075134888,4.4969652
478.54,17.4163401796,78.7754860067,4.5230792
479.08,17.4438788816,79.3472928362,4.5487184
479.63,17.4686679839,79.9162282775,4.5748324
480.17,17.4341240144,80.2051923989,4.6004716
480.72,17.4280475353,80.6323537629,4.6265856
481.26,17.4238248581,81.0595501157,4.6522248
481.81,17.4822453733,81.7878668411,4.6783388
482.36,17.4547996847,82.1152812501,4.7044528
482.9,17.4383574024,82.4850348421,4.730092
483.45,17.4624216995,83.0548748615,4.756206
483.99,17.45538098,83.4689297534,4.7818452
484.54,17.4441128463,83.8705828453,4.8079592
485.08,17.4394806869,84.2954459451,4.8335984
485.63,17.461516789,84.8579496623,4.8597124
486.17,17.4786130895,85.3891704227,4.8853516
486.72,17.4533543641,85.7215495641,4.9114656
487.27,17.4980877005,86.398200869,4.9375796
487.81,17.4730981284,86.722809125,4.9632188
488.36,17.4563494052,87.0955366555,4.9893328
488.9,17.4729477059,87.6263435025,5.014972
489.45,17.4392492635,87.9127553128,5.041086
489.99,17.4769023831,88.5506617226,5.0667252
490.54,17.4715241724,88.979663189,5.0928392
491.09,17.4777407698,89.4677370422,5.1189532
491.63,17.4778943373,89.9166423755,5.1445924
492.18,17.4740587979,90.3532276605,5.1707064
492.72,17.4918169156,90.8935258656,5.1963456
493.27,17.4867699049,91.3239493628,5.2224596
493.81,17.5059999695,91.8732174326,5.2480988
494.36,17.5046503644,92.3232510115,5.2742128
494.91,17.5262666917,92.8949410501,5.3003268
495.45,17.5299231777,93.3637748272,5.325966
496.0,17.564262008,94.0053354075,5.35208
