DN,nonlinear_correction
59.7,0.997305654474
63.7,0.99731097902
67.7,0.997316310045
71.7,0.99732164758
75.7,0.997326991655
79.7,0.997332342299
83.7,0.997337699544
87.7,0.99734306342
91.7,0.997348433958
95.7,0.99735381119
99.7,0.997359195145
103.7,0.997364585856
107.7,0.997369983355
111.7,0.997375387674
115.7,0.997380798843
119.7,0.997386216897
123.7,0.997391641866
127.7,0.997397073785
131.7,0.997402512685
135.7,0.9974079586
139.7,0.997413411562
143.7,0.997418871607
147.7,0.997424338766
151.7,0.997429813075
155.7,0.997435294566
159.7,0.997440783275
163.7,0.997446279236
167.7,0.997451782484
171.7,0.997457293053
175.7,0.997462810979
179.7,0.997468336297
183.7,0.997473869042
187.7,0.997479409251
191.7,0.997484956959
195.7,0.997490512203
199.7,0.997496075018
203.7,0.997501645442
207.7,0.997507223511
211.7,0.997512809263
215.7,0.997518402735
219.7,0.997524003964
223.7,0.997529612987
227.7,0.997535229844
231.7,0.997540854571
235.7,0.997546487208
239.7,0.997552127793
243.7,0.997557776365
247.7,0.997563432963
251.7,0.997569097625
255.7,0.997574770393
259.7,0.997580451305
263.7,0.997586140401
267.7,0.997591837722
271.7,0.997597543308
275.7,0.997603257199
279.7,0.997608979437
283.7,0.997614710063
287.7,0.997620449117
291.7,0.997626196642
295.7,0.99763195268
299.7,0.997637717272
303.7,0.99764349046
307.7,0.997649272288
311.7,0.997655062798
315.7,0.997660862033
319.7,0.997666670036
323.7,0.997672486851
327.7,0.997678312521
331.7,0.997684147091
335.7,0.997689990605
339.7,0.997695843106
343.7,0.99770170464
347.7,0.997707575253
351.7,0.997713454988
355.7,0.997719343891
359.7,0.997725242008
363.7,0.997731149386
367.7,0.997737066069
371.7,0.997742992105
375.7,0.99774892754
379.7,0.997754872422
383.7,0.997760826797
387.7,0.997766790712
391.7,0.997772764216
395.7,0.997778747357
399.7,0.997784740182
403.7,0.997790742741
407.7,0.997796755081
411.7,0.997802777251
415.7,0.997808809302
419.7,0.997814851283
423.7,0.997820903242
427.7,0.997826965231
431.7,0.997833037299
435.7,0.997839119498
439.7,0.997845211877
443.7,0.997851314488
447.7,0.997857427382
451.7,0.997863550611
455.7,0.997869684226
459.7,0.99787582828
463.7,0.997881982826
467.7,0.997888147915
471.7,0.9978943236
475.7,0.997900509936
479.7,0.997906706975
483.7,0.99791291477
487.7,0.997919133377
491.7,0.997925362849
495.7,0.997931603241
499.7,0.997937854608
503.7,0.997944117004
507.7,0.997950390485
511.7,0.997956675107
515.7,0.997962970925
519.7,0.997969277997
523.7,0.997975596377
527.7,0.997981926123
531.7,0.997988267293
535.7,0.997994619942
539.7,0.99800098413
543.7,0.998007359913
547.7,0.998013747349
551.7,0.998020146498
555.7,0.998026557418
559.7,0.998032980168
563.7,0.998039414807
567.7,0.998045861394
571.7,0.99805231999
575.7,0.998058790655
579.7,0.998065273448
583.7,0.998071768431
587.7,0.998078275665
591.7,0.99808479521
595.7,0.998091327129
599.7,0.998097871483
603.7,0.998104428334
607.7,0.998110997745
611.7,0.998117579778
615.7,0.998124174496
619.7,0.998130781963
623.7,0.998137402242
627.7,0.998144035397
631.7,0.998150681492
635.7,0.998157340591
639.7,0.998164012759
643.7,0.998170698062
647.7,0.998177396564
651.7,0.998184108331
655.7,0.998190833429
659.7,0.998197571924
663.7,0.998204323883
667.7,0.998211089371
671.7,0.998217868458
675.7,0.998224661208
679.7,0.998231467691
683.7,0.998238287975
687.7,0.998245122126
691.7,0.998251970215
695.7,0.998258832309
699.7,0.998265708479
703.7,0.998272598792
707.7,0.99827950332
711.7,0.998286422131
715.7,0.998293355297
719.7,0.998300302888
723.7,0.998307264975
727.7,0.998314241628
731.7,0.99832123292
735.7,0.998328238922
739.7,0.998335259706
743.7,0.998342295345
747.7,0.998349345911
751.7,0.998356411478
755.7,0.998363492118
759.7,0.998370587905
763.7,0.998377698914
