Wavelength,ScaleFactor,Intensity,HalogenIntensity
436.58,15.1399507592,41.6966931186,2.7540838
437.13,15.1085357932,41.9185464397,2.7744943
437.67,15.14892309,42.3341760938,2.7945337
438.21,15.1656752602,42.6849016308,2.8145731
438.76,15.2017935745,43.0968354742,2.8349836
439.3,15.2360895822,43.4993861874,2.855023
439.85,15.2195400008,43.762775173,2.8754335
440.39,15.2305264717,44.1084271104,2.896054
440.94,15.2624153785,44.5248001851,2.917284
441.48,15.2947340648,44.9378864085,2.938128
442.02,15.319629771,45.3303555427,2.958972
442.57,15.4090215029,45.9219967009,2.980202
443.11,15.3690488861,46.1232226833,3.001046
443.66,15.3697936891,46.4517585915,3.022276
444.2,15.4171156386,46.9161329423,3.04312
444.75,15.4979427547,47.4911208804,3.06435
445.29,15.4632834018,47.7072291715,3.085194
445.83,15.4573765954,48.0111990857,3.106038
446.38,15.5257931594,48.5533161219,3.127268
446.92,15.5344413549,48.9041612427,3.148112
447.47,15.565375309,49.3319977126,3.169342
448.01,15.5958437568,49.7536424112,3.190186
448.56,15.6456564631,50.244711496,3.211416
449.1,15.7143542236,50.7928785828,3.23226
449.65,15.6980654494,51.073498959,3.25349
450.19,15.7451851883,51.5697137974,3.2752688
450.73,15.8424599545,52.260625287,3.2987696
451.28,15.7826094621,52.4409648423,3.3227056
451.82,15.8216338169,52.9424523365,3.3462064
452.37,15.8439226272,53.3962754283,3.3701424
452.91,15.8629457468,53.8331779656,3.3936432
453.46,15.8083818427,54.0263969711,3.4175792
454.0,15.9723983256,54.9623004303,3.44108
454.55,15.8878469137,55.0516437614,3.465016
455.09,15.9695306727,55.7099760399,3.4885168
455.64,16.0135494829,56.246836719,3.5124528
456.18,16.0107657496,56.6133247911,3.5359536
456.73,16.0065175758,56.9814354502,3.5598896
457.27,16.1089093676,57.7245111825,3.5833904
457.82,16.1589770931,58.2907046651,3.6073264
458.36,16.0856999104,58.4043967659,3.6308272
458.91,16.1683292729,59.0914148321,3.6547632
459.45,16.2253554126,59.6811407012,3.678264
460.0,16.2552188204,60.1800711168,3.7022
460.54,16.2537498738,60.5566089077,3.7257008
461.09,16.3183541911,61.1879013902,3.7496368
461.63,16.3657670434,61.7502909843,3.7731376
462.18,16.3990873375,62.2685415933,3.7970736
462.72,16.3898858785,62.6187784061,3.8205744
463.27,16.4473652426,63.2320667279,3.8445104
463.81,16.5140620461,63.8765769516,3.8680112
464.36,16.5509775013,64.4155305435,3.8919472
464.9,16.5548662159,64.8197178152,3.915448
465.45,16.6275630187,65.502355715,3.939384
465.99,16.6702235722,66.0621756071,3.9628848
466.54,16.7042339673,66.5967874291,3.9868208
467.08,16.7686356005,67.247621551,4.0103216
467.63,16.8018012164,67.7827942508,4.0342576
468.17,16.8433543036,68.3462624097,4.0577584
468.72,16.8644239672,68.8354248661,4.0816944
469.26,16.8836633616,69.3107337906,4.1051952
469.81,16.9403199487,69.9488036381,4.1291312
470.36,16.9578304509,70.4270094288,4.1530672
470.9,17.031760189,71.1343045889,4.176568
471.45,17.0546751816,71.638231319,4.200504
471.99,17.0703427994,72.1052099224,4.2240048
472.54,17.1237792849,72.7408006745,4.2479408
473.08,17.1300024486,73.1698050672,4.2714416
473.63,17.1586377172,73.7028280969,4.2953776
474.17,17.2322240805,74.4238803651,4.3188784
474.72,17.2362387365,74.8537857866,4.3428144
475.26,17.2655221278,75.4044882843,4.3673448
475.81,17.2411318756,75.7482025606,4.3934588
476.35,17.3297039588,76.581660105,4.419098
476.9,17.2971219745,76.8893741667,4.445212
477.45,17.3074981381,77.3874664197,4.471326
477.99,17.3260250141,77.9145315426,4.4969652
478.54,17.3290441349,78.3806390823,4.5230792
479.08,17.3567489749,78.9509634263,4.5487184
479.63,17.3821701521,79.5205151943,4.5748324
480.17,17.3477566681,79.8078618755,4.6004716
480.72,17.3418621136,80.2336095321,4.6265856
481.26,17.3376711288,80.6587435995,4.6522248
481.81,17.3963068662,81.3858173889,4.6783388
482.36,17.3689130254,81.7112315151,4.7044528
482.9,17.352499139,82.0789173572,4.730092
483.45,17.3762705789,82.6451223852,4.756206
483.99,17.3690702092,83.0562050084,4.7818452
484.54,17.3577110476,83.4551665221,4.8079592
485.08,17.3528128697,83.8765285225,4.8335984
485.63,17.374941613,84.4372192059,4.8597124
486.17,17.3904286623,84.95835849,4.8853516
486.72,17.3652493047,85.2888245956,4.9114656
487.27,17.4100707803,85.9636103195,4.9375796
487.81,17.3849670918,86.2853955072,4.9632188
488.36,17.3682107644,86.6557836443,4.9893328
488.9,17.3852218909,87.1864009966,5.014972
489.45,17.3513602329,87.4696991509,5.041086
489.99,17.388936103,88.1049607542,5.0667252
490.54,17.3834871926,88.531305007,5.0928392
491.09,17.3898137862,89.0176429282,5.1189532
491.63,17.3899898064,89.464409394,5.1445924
492.18,17.3861679687,89.8987699874,5.1707064
492.72,17.4043980475,90.4392672145,5.1963456
493.27,17.3995769114,90.8685874767,5.2224596
493.81,17.4192292682,91.4178362191,5.2480988
494.36,17.4185601657,91.8691929836,5.2742128
494.91,17.4405988652,92.4408735735,5.3003268
495.45,17.4446705567,92.909722266,5.325966
496.0,17.4790118764,93.5490698832,5.35208
496.54,17.4903412975,94.0581442103,5.3777192
497.09,17.5139260117,94.6423348442,5.4038332
497.63,17.5210388915,95.1299970807,5.4294724
498.18,17.5622242748,95.8122319075,5.4555864
498.72,17.5444064034,96.1648495153,5.4812256
499.27,17.6168701709,97.0220867201,5.5073396
499.82,17.5874430542,97.319300083,5.5334536
500.36,17.6552800007,98.1674245803,5.5602304
500.91,17.6207021253,98.4659354221,5.5880824
501.45,17.6630513219,99.1855929584,5.615428
502.0,17.6954759645,99.8605256009,5.64328
502.54,17.7107015642,100.430757684,5.6706256
503.09,17.7149293825,100.948128272,5.6984776
503.64,17.6958932111,101.332517093,5.7263296
504.18,17.7154518939,101.928956219,5.7536752
504.73,17.7585843554,102.671738484,5.7815272
505.27,17.7834814969,103.301981956,5.8088728
505.82,17.797745371,103.880541791,5.8367248
506.36,17.7990650325,104.374970405,5.8640704
506.91,17.8329278013,105.07022677,5.8919224
507.46,17.866694842,105.766802738,5.9197744
508.0,17.9133384937,106.532773623,5.94712
508.55,17.9477712637,107.237430763,5.974972
509.09,17.9663964692,107.840017736,6.0023176
509.64,18.0240684591,108.68818969,6.0301696
510.18,18.0432403567,109.297202718,6.0575152
510.73,18.081902617,110.035017099,6.0853672
511.27,18.1098855416,110.700529157,6.1127128
511.82,18.1111114225,111.21245329,6.1405648
512.37,18.1448472863,111.924980834,6.1684168
512.91,18.1611767795,112.52233623,6.1957624
513.46,18.2033297223,113.290504988,6.2236144
514.0,18.2018349955,113.778942484,6.25096
