DN,nonlinear_correction
92.691295665,0.994274673971
96.691295665,0.994282704098
100.691295665,0.994290850834
104.691295665,0.994299122503
108.691295665,0.994307527541
112.691295665,0.994316074486
116.691295665,0.994324771971
120.691295665,0.994333628715
124.691295665,0.994342653513
128.691295665,0.994351855225
132.691295665,0.99436124277
136.691295665,0.994370825107
140.691295665,0.994380611232
144.691295665,0.994390610161
148.691295665,0.994400830916
152.691295665,0.994411282517
156.691295665,0.994421973965
160.691295665,0.994432914229
164.691295665,0.994444112231
168.691295665,0.994455576832
172.691295665,0.994467316816
176.691295665,0.994479340874
180.691295665,0.99449165759
184.691295665,0.994504275422
188.691295665,0.994517202687
192.691295665,0.994530447542
196.691295665,0.994544017971
200.691295665,0.994557921763
204.691295665,0.994572166497
208.691295665,0.994586759523
212.691295665,0.994601707945
216.691295665,0.994617018603
220.691295665,0.994632698054
224.691295665,0.994648752557
228.691295665,0.99466518805
232.691295665,0.994682010138
236.691295665,0.994699224071
240.691295665,0.994716834729
244.691295665,0.994734846605
248.691295665,0.994753263785
252.691295665,0.994772089936
256.691295665,0.994791328288
260.691295665,0.994810981616
264.691295665,0.994831052229
268.691295665,0.994851541952
272.691295665,0.994872452115
276.691295665,0.994893783534
280.691295665,0.994915536507
284.691295665,0.994937710793
288.691295665,0.994960305608
292.691295665,0.994983319608
296.691295665,0.995006750885
300.691295665,0.995030596956
304.691295665,0.995054854753
308.691295665,0.99507952062
312.691295665,0.995104590304
316.691295665,0.995130058952
320.691295665,0.995155921105
324.691295665,0.995182170698
328.691295665,0.995208801055
332.691295665,0.995235804891
336.691295665,0.99526317431
340.691295665,0.995290900808
344.691295665,0.995318975275
348.691295665,0.995347388
352.691295665,0.995376128672
356.691295665,0.99540518639
360.691295665,0.99543454967
364.691295665,0.995464206448
368.691295665,0.995494144095
372.691295665,0.995524349426
376.691295665,0.995554808708
380.691295665,0.995585507675
384.691295665,0.995616431544
388.691295665,0.995647565022
392.691295665,0.99567889233
396.691295665,0.995710397213
400.691295665,0.995742062959
404.691295665,0.995773872419
408.691295665,0.995805808024
412.691295665,0.995837851803
416.691295665,0.995869985408
420.691295665,0.995902190131
424.691295665,0.995934446929
428.691295665,0.995966736444
432.691295665,0.995999039027
436.691295665,0.996031334763
440.691295665,0.996063603491
444.691295665,0.996095824836
448.691295665,0.996127978225
452.691295665,0.99616004292
456.691295665,0.996191998038
460.691295665,0.996223822581
464.691295665,0.996255495459
468.691295665,0.99628699552
472.691295665,0.996318301571
476.691295665,0.996349392411
480.691295665,0.996380246851
484.691295665,0.996410843746
488.691295665,0.996441162017
492.691295665,0.996471180679
496.691295665,0.996500878871
500.691295665,0.996530235872
504.691295665,0.996559231138
508.691295665,0.996587844319
512.691295665,0.996616055289
516.691295665,0.996643844166
520.691295665,0.996671191343
524.691295665,0.996698077504
528.691295665,0.996724483651
532.691295665,0.99675039113
536.691295665,0.996775781644
540.691295665,0.996800637286
544.691295665,0.996824940551
548.691295665,0.996848674358
552.691295665,0.996871822075
556.691295665,0.996894367531
560.691295665,0.996916295036
564.691295665,0.996937589402
568.691295665,0.996958235955
572.691295665,0.996978220551
576.691295665,0.996997529596
580.691295665,0.997016150052
584.691295665,0.997034069457
588.691295665,0.997051275935
592.691295665,0.997067758204
596.691295665,0.997083505593
600.691295665,0.997098508045
604.691295665,0.997112756131
608.691295665,0.997126241052
612.691295665,0.997138954651
616.691295665,0.997150889417
620.691295665,0.997162038487
624.691295665,0.997172395654
628.691295665,0.997181955368
632.691295665,0.997190712736
636.691295665,0.997198663528
640.691295665,0.997205804171
644.691295665,0.997212131752
648.691295665,0.997217644018
652.691295665,0.997222339368
656.691295665,0.997226216853
660.691295665,0.99722927617
664.691295665,0.99723151766
668.691295665,0.997232942299
672.691295665,0.997233551688
676.691295665,0.997233348055
680.691295665,0.997232334236
684.691295665,0.997230513673
688.691295665,0.997227890401
692.691295665,0.997224469037
696.691295665,0.997220254771
700.691295665,0.997215253355
704.691295665,0.997209471084
708.691295665,0.997202914793
712.691295665,0.997195591835
716.691295665,0.997187510072
720.691295665,0.997178677858
724.691295665,0.997169104027
728.691295665,0.997158797873
732.691295665,0.997147769139
736.691295665,0.997136028001
740.691295665,0.997123585049
744.691295665,0.99711045127
748.691295665,0.997096638038
752.691295665,0.997082157088
756.691295665,0.997067020506
760.691295665,0.997051240709
764.691295665,0.997034830429
768.691295665,0.997017802696
772.691295665,0.997000170817
776.691295665,0.996981948367
780.691295665,0.996963149162
784.691295665,0.996943787251
788.691295665,0.996923876894
792.691295665,0.996903432544
796.691295665,0.996882468837
800.691295665,0.996861000568
804.691295665,0.996839042679
808.691295665,0.996816610244
812.691295665,0.996793718451
816.691295665,0.996770382584
820.691295665,0.996746618016
824.691295665,0.996722440186
828.691295665,0.996697864587
832.691295665,0.996672906756
836.691295665,0.996647582253
840.691295665,0.996621906653
844.691295665,0.99659589553
848.691295665,0.996569564446
852.691295665,0.996542928938
856.691295665,0.996516004505
860.691295665,0.996488806597
864.691295665,0.996461350605
868.691295665,0.996433651849
872.691295665,0.996405725566
876.691295665,0.996377586903
880.691295665,0.996349250906
884.691295665,0.99632073251
888.691295665,0.99629204653
892.691295665,0.996263207654
896.691295665,0.996234230434
900.691295665,0.996205129276
904.691295665,0.996175918437
908.691295665,0.996146612015
912.691295665,0.996117223942
916.691295665,0.996087767978
920.691295665,0.996058257705
924.691295665,0.996028706523
928.691295665,0.995999127642
932.691295665,0.995969534077
936.691295665,0.995939938646
940.691295665,0.995910353961
944.691295665,0.995880792429
948.691295665,0.995851266243
952.691295665,0.995821787381
956.691295665,0.995792367603
960.691295665,0.995763018447
964.691295665,0.995733751226
968.691295665,0.995704577025
972.691295665,0.995675506701
976.691295665,0.995646550877
980.691295665,0.995617719943
984.691295665,0.995589024054
988.691295665,0.995560473128
992.691295665,0.995532076845
996.691295665,0.995503844646
1000.69129566,0.995475785732
1004.69129566,0.995447909064
1008.69129566,0.995420223363
1012.69129566,0.995392737109
1016.69129566,0.995365458543
1020.69129566,0.995338395664
1024.69129566,0.995311556232
1028.69129566,0.995284947769
1032.69129566,0.995258577561
1036.69129566,0.995232452654
1040.69129566,0.995206579862
1044.69129566,0.995180965765
1048.69129566,0.99515561671
