8° Hemispherical Reflectance
Cal_Spektralon.xlsx	
	
Messungen:	11.07.2016
Ort:	Iffeldorf
wer:	Anna Göritz, Peter Gege
Messgerät:	Perkin-Elmer Lambda 1050
Spektralon:	SRT-10-050, kleines graues vom DLR, sichtbare Spuren von Verschmutzung
Ser.No.	22590-41
	
686	0.1089267
687	0.1089471
688	0.1089784
689	0.1090179
690	0.1090088
691	0.1090392
692	0.109067
693	0.1091011
694	0.1091233
695	0.1091709
696	0.1091783
697	0.1092016
698	0.109244
699	0.1092823
700	0.1093097
701	0.1093608
702	0.109383
703	0.1093994
704	0.1093934
705	0.1094277
706	0.1094457
707	0.1094738
708	0.109518
709	0.1095724
710	0.1096
711	0.1096315
712	0.1096637
713	0.1096847
714	0.1097026
715	0.1097172
716	0.1097389
717	0.1097731
718	0.1097868
719	0.1098424
720	0.1098858
721	0.1099224
722	0.1099419
723	0.1100045
724	0.1100083
725	0.1100333
726	0.1100561
727	0.1100932
728	0.1101014
729	0.1101512
730	0.1102033
731	0.1102482
732	0.1102867
733	0.1103358
734	0.110359
735	0.1103526
736	0.1103773
737	0.1103776
738	0.1103912
739	0.1104284
740	0.1104594
741	0.1104993
742	0.1105826
743	0.1105995
744	0.1106175
745	0.1106715
746	0.1106873
747	0.1106789
748	0.1107031
749	0.1107589
750	0.1107939
751	0.1108256
752	0.1108393
753	0.1108571
754	0.1108431
755	0.1108355
756	0.1108511
757	0.1108984
758	0.1109372
759	0.1109824
760	0.1110307
761	0.1110407
762	0.111049
763	0.1110908
764	0.1111202
765	0.111148
766	0.111194
767	0.1112257
768	0.1112587
769	0.1112785
770	0.1113048
771	0.1113394
772	0.1113723
773	0.111389
774	0.1114116
775	0.1114116
776	0.1114412
777	0.1114805
778	0.1115161
779	0.1115425
780	0.1115812
781	0.1115989
782	0.1116203
783	0.1116526
784	0.1116662
785	0.1117162
786	0.1117498
787	0.1117525
788	0.1117539
789	0.1118138
790	0.1118588
791	0.1118853
792	0.1119533
793	0.1119871
794	0.1119916
795	0.1119897
796	0.1120046
797	0.1120088
798	0.1120803
799	0.112141
800	0.1121777
801	0.112217
802	0.1122547
803	0.1122475
804	0.1122832
805	0.1123186
806	0.1123505
807	0.1123459
808	0.112361
809	0.1123753
810	0.1124161
811	0.1124558
812	0.1124815
813	0.1125403
814	0.1125846
815	0.1125879
816	0.1125894
817	0.1126271
818	0.1126269
819	0.1126133
820	0.1126265
821	0.1126721
822	0.1127334
823	0.1128041
824	0.1128699
825	0.1128535
826	0.1128446
827	0.1128362
828	0.1128208
829	0.1128295
830	0.1129187
831	0.1129956
832	0.11306
833	0.1130728
834	0.1130514
835	0.1130435
836	0.1130408
837	0.1130575
838	0.1131164
839	0.1132009
840	0.1132071
841	0.1132445
842	0.113311
843	0.11332
844	0.1133142
845	0.1133969
846	0.1133665
847	0.1132759
848	0.1132564
849	0.1132766
850	0.1132305
851	0.1132453
852	0.113313
853	0.1134294
854	0.1135409
855	0.1136276
856	0.1137088
857	0.1137912
858	0.1138792
859	0.1139625
860	0.1140547
861	0.1141036
862	0.1140787
863	0.1141817
864	0.1142912
865	0.1143754
866	0.1144958
867	0.1145948
868	0.1144996
869	0.1144307
870	0.1143206
871	0.1143409
872	0.1144926
873	0.1148367
874	0.115249
875	0.1153312
876	0.1153723
877	0.1154296
878	0.1147694
879	0.1141433
880	0.1140177
881	0.1142518
882	0.1143047
883	0.115088
884	0.1157436
885	0.1156438
886	0.1146045
887	0.1140832
888	0.1137248
889	0.1135132
890	0.1136989
891	0.1143429
892	0.114129
893	0.1140864
894	0.113402
895	0.1132716
896	0.1139448
897	0.1148262
898	0.1150591
899	0.1157178
900	0.1161591
901	0.1157522
902	0.1155541
903	0.1154581
904	0.1156836
905	0.1156607
906	0.1157215
907	0.1157848
908	0.1156924
909	0.1155128
910	0.1158306
911	0.1159862
912	0.11631
913	0.1164047
914	0.1162951
915	0.1159253
916	0.1159717
917	0.1158012
918	0.116294
919	0.1168653
920	0.1174977
921	0.117751
922	0.1176992
923	0.1172838
924	0.117619
925	0.1173961
926	0.1170043
927	0.1171465
928	0.1175245
929	0.1166487
930	0.1160388
931	0.1162675
932	0.116044
933	0.1158074
934	0.1161162
935	0.116154
936	0.1162632
937	0.1162461
938	0.1158567
939	0.1156511
940	0.1155754
941	0.1150488
942	0.1152759
943	0.1158665
944	0.1154006
945	0.1151632
946	0.1156949
947	0.1154087
948	0.1162012
949	0.1164443
950	0.1170446
951	0.1175308
952	0.1181303
953	0.1174928
954	0.1189991
955	0.1186852
956	0.1178166
957	0.1175771
958	0.1170203
959	0.1154733
960	0.1160045
961	0.1169172
962	0.1168007
963	0.1175337
964	0.1181128
965	0.1186242
966	0.1191185
967	0.1183256
968	0.1182672
969	0.1188824
970	0.1184382
971	0.1169871
972	0.1177061
973	0.1178136
974	0.1156002
975	0.1148225
976	0.1152842
977	0.1166575
978	0.1161421
979	0.1182334
980	0.1187963
981	0.1179785
982	0.116154
983	0.1157202
984	0.1155908
985	0.1145393
986	0.1161971
987	0.1151608
988	0.1168477
989	0.1173164
990	0.1173289
991	0.1151192
992	0.1173588
993	0.116538
994	0.1159554
995	0.1166438
996	0.1178167
997	0.1170153
998	0.1159172
999	0.1151986
1000	0.1153884

	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
